date,demand_mu,was_interpolated
2019-05-15,115.2,False
2019-05-16,109.3,False
2019-05-17,100.7,False
2019-05-18,98.9,False
2019-05-19,91.9,False
2019-05-20,99.3,False
2019-05-21,106.7,False
2019-05-22,111.4,False
2019-05-23,109.7,False
2019-05-24,103.2,False
2019-05-25,98.7,False
2019-05-26,46.1,False
2019-05-27,48.7,False
2019-05-28,46.0,False
2019-05-29,46.1,False
2019-05-30,44.1,False
2019-05-31,44.4,False
2019-06-01,43.4,True
2019-06-02,42.4,False
2019-06-03,78.4,False
2019-06-04,75.9,False
2019-06-05,74.2,False
2019-06-06,75.9,False
2019-06-07,76.0,False
2019-06-08,69.1,False
2019-06-09,60.8,False
2019-06-10,67.9,False
2019-06-11,67.7,False
2019-06-12,70.8,False
2019-06-13,70.4,False
2019-06-14,72.5,False
2019-06-15,58.6,False
2019-06-16,63.7,False
2019-06-17,102.8,False
2019-06-18,110.8,False
2019-06-19,114.0,False
2019-06-20,114.5,False
2019-06-21,105.5,False
2019-06-22,109.2,False
2019-06-23,99.9,False
2019-06-24,77.7,False
2019-06-25,75.9,False
2019-06-26,76.6,False
2019-06-27,75.0,False
2019-06-28,76.0,False
2019-06-29,71.4,False
2019-06-30,60.3,False
2019-07-01,103.8,False
2019-07-02,110.9,False
2019-07-03,117.8,False
2019-07-04,115.7,False
2019-07-05,117.0,False
2019-07-06,110.1,False
2019-07-07,102.1,False
2019-07-08,58.849999999999994,False
2019-07-09,57.7,False
2019-07-10,59.7,False
2019-07-11,61.85,False
2019-07-12,63.1,False
2019-07-13,63.4,False
2019-07-14,64.0,False
2019-07-15,60.4,False
2019-07-16,58.0,False
2019-07-17,61.6,False
2019-07-18,61.7,False
2019-07-19,60.1,False
2019-07-20,46.1,False
2019-07-21,54.4,False
2019-07-22,57.9,False
2019-07-23,58.2,False
2019-07-24,64.2,False
2019-07-25,65.0,False
2019-07-26,65.3,False
2019-07-27,65.0,False
2019-07-28,65.6,False
2019-07-29,61.1,False
2019-07-30,59.2,False
2019-07-31,114.8,False
2019-08-01,99.3,False
2019-08-02,106.4,False
2019-08-03,112.0,False
2019-08-04,122.7,False
2019-08-05,118.5,False
2019-08-06,121.0,False
2019-08-07,98.35,True
2019-08-08,75.7,False
2019-08-09,78.7,False
2019-08-10,81.3,False
2019-08-11,82.3,False
2019-08-12,84.8,False
2019-08-13,91.7,False
2019-08-14,95.2,False
2019-08-15,62.6,False
2019-08-16,64.0,False
2019-08-17,65.1,False
2019-08-18,63.6,False
2019-08-19,64.3,False
2019-08-20,60.7,False
2019-08-21,59.4,False
2019-08-22,67.6,False
2019-08-23,70.2,False
2019-08-24,70.2,False
2019-08-25,73.2,False
2019-08-26,74.8,False
2019-08-27,70.7,False
2019-08-28,70.0,False
2019-08-29,124.6,False
2019-08-30,125.1,False
2019-08-31,121.0,False
2019-09-01,113.9,False
2019-09-02,113.4,False
2019-09-03,108.1,False
2019-09-04,94.0,False
2019-09-05,59.2,False
2019-09-06,60.2,False
2019-09-07,60.45,True
2019-09-08,60.7,False
2019-09-09,60.6,False
2019-09-10,63.4,False
2019-09-11,59.1,False
2019-09-12,118.5,False
2019-09-13,108.0,False
2019-09-14,91.6,False
2019-09-15,100.6,False
2019-09-16,108.6,False
2019-09-17,111.1,False
2019-09-18,105.6,False
2019-09-19,97.2,False
2019-09-20,89.2,False
2019-09-21,73.7,False
2019-09-22,74.4,False
2019-09-23,75.2,False
2019-09-24,78.7,False
2019-09-25,79.2,False
2019-09-26,85.8,False
2019-09-27,86.0,False
2019-09-28,88.3,False
2019-09-29,87.9,False
2019-09-30,86.4,False
2019-10-01,80.7,False
2019-10-02,75.3,False
2019-10-03,68.9,False
2019-10-04,72.2,False
2019-10-05,72.3,False
2019-10-06,72.2,False
2019-10-07,73.05000000000001,True
2019-10-08,73.9,False
2019-10-09,66.2,False
2019-10-10,64.6,False
2019-10-11,110.5,False
2019-10-12,106.0,False
2019-10-13,102.7,False
2019-10-14,101.8,False
2019-10-15,100.9,False
2019-10-16,88.4,False
2019-10-17,89.8,False
2019-10-18,74.9,False
2019-10-19,74.9,False
2019-10-20,75.4,False
2019-10-21,76.4,False
2019-10-22,77.3,False
2019-10-23,73.3,False
2019-10-24,71.7,False
2019-10-25,115.5,False
2019-10-26,117.8,False
2019-10-27,113.9,False
2019-10-28,98.7,False
2019-10-29,107.7,False
2019-10-30,99.2,False
2019-10-31,89.1,False
2019-11-01,52.4,False
2019-11-02,56.4,False
2019-11-03,60.8,False
2019-11-04,62.8,False
2019-11-05,63.0,False
2019-11-06,65.2,False
2019-11-07,63.650000000000006,True
2019-11-08,62.1,False
2019-11-09,63.2,False
2019-11-10,59.9,False
2019-11-11,62.0,False
2019-11-12,63.2,False
2019-11-13,60.6,False
2019-11-14,60.4,False
2019-11-15,58.5,False
2019-11-16,61.2,False
2019-11-17,61.4,False
2019-11-18,62.2,False
2019-11-19,61.4,False
2019-11-20,64.2,False
2019-11-21,59.4,False
2019-11-22,57.5,False
2019-11-23,66.8,False
2019-11-24,67.1,False
2019-11-25,66.5,False
2019-11-26,67.0,False
2019-11-27,68.5,False
2019-11-28,64.9,False
2019-11-29,61.6,False
2019-11-30,136.7,False
2019-12-01,139.1,False
2019-12-02,135.2,False
2019-12-03,136.1,False
2019-12-04,134.7,False
2019-12-05,130.7,False
2019-12-06,117.9,False
2019-12-07,93.65,True
2019-12-08,69.4,False
2019-12-09,67.7,False
2019-12-10,71.8,False
2019-12-11,73.1,False
2019-12-12,72.2,False
2019-12-13,72.0,False
2019-12-14,73.3,False
2019-12-15,68.5,False
2019-12-16,69.5,False
2019-12-17,68.8,False
2019-12-18,66.8,False
2019-12-19,66.8,False
2019-12-20,62.6,False
2019-12-21,61.1,False
2019-12-22,62.8,False
2019-12-23,62.9,False
2019-12-24,65.4,False
2019-12-25,64.8,False
2019-12-26,66.8,False
2019-12-27,63.8,False
2019-12-28,62.0,False
2019-12-29,128.5,False
2019-12-30,126.9,False
2019-12-31,134.9,False
2020-01-01,137.2,False
2020-01-02,132.6,False
2020-01-03,125.3,False
2020-01-04,116.2,False
2020-01-05,58.0,False
2020-01-06,56.45,True
2020-01-07,54.9,True
2020-01-08,53.35,True
2020-01-09,51.8,True
2020-01-10,50.25,True
2020-01-11,48.7,True
2020-01-12,47.15,True
2020-01-13,45.6,False
2020-01-14,53.3,False
2020-01-15,58.8,False
2020-01-16,61.1,False
2020-01-17,58.3,False
2020-01-18,54.9,False
2020-01-19,130.2,False
2020-01-20,113.4,False
2020-01-21,127.8,False
2020-01-22,135.5,False
2020-01-23,137.8,False
2020-01-24,132.5,False
2020-01-25,125.5,False
2020-01-26,85.6,False
2020-01-27,86.9,False
2020-01-28,91.0,False
2020-01-29,94.4,False
2020-01-30,94.8,False
2020-01-31,90.0,False
2020-02-01,85.5,False
2020-02-02,82.5,False
2020-02-03,73.1,False
2020-02-04,82.8,False
2020-02-05,83.2,False
2020-02-06,83.41250000000001,True
2020-02-07,83.625,True
2020-02-08,83.8375,True
2020-02-09,84.05000000000001,True
2020-02-10,84.2625,True
2020-02-11,84.47500000000001,True
2020-02-12,84.6875,True
2020-02-13,84.9,False
2020-02-14,82.5,False
2020-02-15,80.2,False
2020-02-16,71.0,False
2020-02-17,68.7,False
2020-02-18,71.1,False
2020-02-19,71.0,False
2020-02-20,71.4,False
2020-02-21,67.7,False
2020-02-22,65.4,False
2020-02-23,106.7,False
2020-02-24,110.7,False
2020-02-25,114.5,False
2020-02-26,117.1,False
2020-02-27,117.5,False
2020-02-28,110.5,False
2020-02-29,99.6,False
2020-03-01,73.8,False
2020-03-02,74.5,False
2020-03-03,74.7,False
2020-03-04,77.5,False
2020-03-05,79.7,False
2020-03-06,78.825,True
2020-03-07,77.95,True
2020-03-08,77.075,True
2020-03-09,76.2,True
2020-03-10,75.325,True
2020-03-11,74.45,True
2020-03-12,73.575,True
2020-03-13,72.7,False
2020-03-14,69.3,False
2020-03-15,126.4,False
2020-03-16,122.3,False
2020-03-17,119.6,False
2020-03-18,130.2,False
2020-03-19,113.4,False
2020-03-20,127.8,False
2020-03-21,135.5,False
2020-03-22,44.3,False
2020-03-23,45.8,False
2020-03-24,47.6,False
2020-03-25,46.1,False
2020-03-26,47.5,False
2020-03-27,48.4,False
2020-03-28,50.1,False
2020-03-29,66.3,False
2020-03-30,66.4,False
2020-03-31,67.6,False
2020-04-01,65.5,False
2020-04-02,64.9,False
2020-04-03,61.4,False
2020-04-04,59.6,False
2020-04-05,62.0,False
2020-04-06,62.15,True
2020-04-07,62.3,True
2020-04-08,62.45,True
2020-04-09,62.6,True
2020-04-10,62.75,True
2020-04-11,62.900000000000006,True
2020-04-12,63.050000000000004,True
2020-04-13,63.2,False
2020-04-14,63.8,False
2020-04-15,63.3,False
2020-04-16,64.0,False
2020-04-17,59.8,False
2020-04-18,58.1,False
2020-04-19,69.1,False
2020-04-20,69.4,False
2020-04-21,69.1,False
2020-04-22,68.7,False
2020-04-23,70.0,False
2020-04-24,65.8,False
2020-04-25,63.1,False
2020-04-26,135.5,False
2020-04-27,131.8,False
2020-04-28,131.2,False
2020-04-29,134.4,False
2020-04-30,129.2,False
2020-05-01,129.0,False
2020-05-02,123.8,False
2020-05-03,64.8,False
2020-05-04,61.2,False
2020-05-05,65.8,False
2020-05-06,66.1375,True
2020-05-07,66.475,True
2020-05-08,66.8125,True
2020-05-09,67.15,True
2020-05-10,67.4875,True
2020-05-11,67.825,True
2020-05-12,68.1625,True
2020-05-13,68.5,False
2020-05-14,65.7,False
2020-05-15,71.8,False
2020-05-16,75.0,False
2020-05-17,70.7,False
2020-05-18,69.8,False
2020-05-19,71.7,False
2020-05-20,70.7,False
2020-05-21,73.4,False
2020-05-22,62.0,False
2020-05-23,72.1,False
2020-05-24,70.84444444444443,True
2020-05-25,69.58888888888889,True
2020-05-26,68.33333333333333,True
2020-05-27,67.07777777777777,True
2020-05-28,65.82222222222222,True
2020-05-29,64.56666666666666,True
2020-05-30,63.31111111111111,True
2020-05-31,62.05555555555555,True
2020-06-01,60.8,False
2020-06-02,62.5,False
2020-06-03,62.6,False
2020-06-04,63.5,False
2020-06-05,65.0,False
